B02730,R176897,D1782E,"An extempore sermon, preached upon malt, by a way of caution to good fellows; at the request of two schollars, / by a lover of ale, out of a hallow [sic] tree.","Lover of ale.; Dod, John, 1549?-1645.",s n,No pubplace,Great Britain; Scotland; Temperance; England; 17th century.; Alcoholism; Broadsides; Early works to 1800.,1691
A43562,R27425,H1751,Three sermons preached at the Collegiate Church in Manchester by Richard Heyricke.,"Heyrick, Richard, 1600-1667.",Printed by T B for L Fawne,London,"17th century.; Sermons.; Sermons, English; Church of England",1641
A45352,R40936,H456,"A sermon preach'd in the cathedral and metropolitical church of St. Peter in York on Friday the fifth of November, 1697 being the anniversary-day of thanksgiving for that great deliverance from the gunpowder-treason, and also the day of His Majesty's happy landing in England : with a postscript and two letters, which clearly discover the Roman designs against the English church and nation / by George Halley ...","Halley, George, 1655 or 6-1708.",Printed for and sold by Tho Baxter,London,"King of England, 1650-1702.; Controversial literature.; Sermons.; William; 17th century.; III,; Sermons, English; Catholic Church; Gunpowder Plot, 1605",1698
A47178,R18917,K211,"A sermon preach'd at the parish-church of St. Helen's, London, May the 19th, 1700 by George Keith.","Keith, George, 1639?-1716.",Printed for J Gwillim,London,"Sermons.; Bible.; 17th century.; Corinthians, 2nd, V, 14-15; Sermons, English; N.T.",1700
A49262,R31563,L3185,"The zealovs Christian taking heaven by holy violence in severall sermons, tending to direct men how to hear with zeal, [how] to pray with importunity / preached by ... Mr. Christopher Love ...","Love, Christopher, 1618-1651.",Printed by R and W Leybourn for John Rothwell,London,"17th century.; Christian life; Sermons, English; Sermons.",1653
A47646,R29941,L1031,"Sermons preached by Dr. Robert Leighton, late archbishop of Glasgow published at the desire of his friends, after his death, from his papers written with his own hand.","Leighton, Robert, 1611-1684.",Printed for S K and are to be sold by Awnsham and John Churchill,London,"17th century.; Sermons, English",1692
A43805,R32969,H2010,The necessity of heresies asserted and explained in a sermon and clerum / by the author of the Catholic balance and published as a consolatory to the Church of England in the days of her controversie ...,"Hill, Samuel, 1648-1716.",Printed for Robert Clavel,London,"Church of England; Sermons.; Bible.; Corinthians, 1st, II, 9; Heresy.; N.T.",1688
A42515,R8144,G39,"A seasonable sermon preach'd January 26. 1689, and publish'd for the common benefit of all true English men by J.G. D.D.","Goodman, John, 1625 or 6-1690.",Printed by S Roycroft for R Clavell,London,"17th century.; Sermons, English",1690
A48852,R20308,L2713,"A sermon preached before Their Majesties at Whitehall, on the fifth day of November, 1689 being the anniversary-day of thanksgiving for that great deliverance from the gunpowder-treason, and also the day of His Majesties happy landing in England / by the Bishop of St. Asaph, Lord Almoner to Their Majesties.","Lloyd, William, 1627-1717.",Printed for Robert Clavell,London,"O.T.; Anniversaries, etc.; Sermons.; Bible.; 17th century.; Psalms LVII, 6-7; Sermons, English; Thanksgiving sermons.; Gunpowder Plot, 1605",1689
A49258,R217684,L3179,"A treatise of effectual calling and election In XVI. sermons, on 2 Peter 1.10. Wherein a Christian may discern, whether yet he be effectually called and elected. And what course he ought to take that he may attain the assurance thereof. Preached by that faithfull servant of Christ, Mr. Christopher Love, late minister of Laurence Jury, London.","Calamy, Edmund, 1600-1666.; Love, Christopher, 1618-1651.",printed for John Rothwell at the Fountain and Beare in Goldsmiths Row in Cheapside,London,"Sermons; Bible.; Peter, 2nd, I, 10; Election (Theology); Early works to 1800.; N.T.",1655
A47613,R29890,K95,"A summons to the grave, or, The necessity of a timely preparation for death demonstrated in a sermon preached at the funeral of that most eminent and faithful servant of Jesus Christ Mr. John Norcot who departed this life March 24, 1675/6 / by Benjamin Keach.","Keach, Benjamin, 1640-1704.",Printed for Ben Harris,London,"Norcott, John, d. 1676.; 17th century.; Death.; Funeral sermons.; Sermons, English",1676
A45548,R31526,H722,"The first general epistle of St. John the Apostle, unfolded and applied the first part in two and twenty lectures on the first chapter, and two verses of the second : delivered in St. Dyonis. Back-Church, An. Dom. 1654 / by Nath. Hardy ...","Hardy, Nathaniel, 1618-1670.",Printed by E Tyler for Nathanael Webb and William Grantham,London,Bible.; John; Sermons.; N.T.,1656
A43821,R25713,H2029,"The spring of strengthning grace in the Rock of Ages, Jesus Christ demonstrated in a plain and short sermon / preached at Twickenham in Middlesex, near Hampton-Court, April 16, 1648, by Thomas Hill ...","Hill, Thomas, d. 1653.",Printed for Peter Cole,London,"Timothy, 2nd, II, 1; Sermons.; Bible.; 17th century.; Sermons, English; Grace (Theology); N.T.; Ephesians IV, 15",1648
A07666,S112851,18057,"A mappe of mans mortalitie Clearely manifesting the originall of death, with the nature, fruits, and effects thereof, both to the vnregenerate, and elect children of God. Diuided into three bookes; and published for the furtherance of the wise in practise, the humbling of the strong in conceit, and for the comfort and confirmation of weake Christians, against the combat of death, that they may wisely and seasonably be prepared against the same. Whereunto are annexed two consolatory sermons, for afflicted Christians, in their greatest conflicts. By Iohn Moore, minister of the word of God, at Shearsbie in Leicester-shire.","Moore, John, d. 1619.",Printed by T homas S nodham for George Edvvards and are to be sold at the signe of the Greyhound in Paules Church yard,London,Man (Theology); Early works to 1800.; Death,1617
A02456,S119068,12588,"A learned sermon handling the question of ceremonies, controuerted in our church: by Roger Hacket Doctor in Diuinitie","Hacket, Roger, 1559-1621.",Printed by Felix Kyngston for Cuthbert Burbie and are to be sold at his shop at the signe of the Swan in Pauls Churchyard,At London,"Customs and practices; Church of England; 17th century.; Early works to 1800.; Sermons, English",1605
A03753,S118143,13873,"A sermon, preached at the funerall of the right vvorshipfull Sir Robert Boteler Knight of Wood-hall: In the parish of Watton in Hert-ford-shire, the ninth of Ianuary, 1622.","Howell, Thomas, fl. 1623.",Printed by Nicholas Okes for Iohn Waterson and are to be sold at the signe of the Crowne in Pauls Church yard,London,"Boteler, Robert,; Sir, d. 1623.",1623
A04165,S2143,14305A,"Sinnelesse sorrow for the dead a comfortable sermon, preached at the funerall of Mr. Iohn Moyle, of Buckwell, in the countie of Kent, Esquire, the sixt of Ianuarie, 1614 / by Thomas Iackson, Batchelor in Diuinitie, and preacher of Gods word, at Wye in Kent.","Jackson, Thomas, d. 1646.",Printed by T S for Roger Jackson and are to be solde at his shop in Fleetstreet neere to the Conduit,London,"Moyle, John, d. 1614?; Sermons.; 17th century.; Funeral sermons.; Sermons, English",1614
A00818,S115075,10939,"The curse of corne-horders with the blessing of seasonable selling. In three sermons, on Pro. II.26. Begun at the general sessions for the county of Cornwall, held at Bodmyn, and continued at Fowy. By Charles Fitz-Geffrie.","Fitz-Geffry, Charles, 1575?-1638.",By I ohn B eale for Edward Dight dwelling in Excester,Printed at London,Great Britain; Food supply; Sermons; Early works to 1800.,1631
A01347,S102826,11468,"The mourning of Mount Libanon: or, The temples teares A sermon preached at Hodsocke, the 20. day of December, anno Domini, 1627. In commemoration of the right honourable and religious lady, the Lady Frances Clifton, daughter to the Right Honourable the Earle of Cumberland: and wife to the truly noble Sir Geruas Clifton of Clifton, in the county of Nottingham, Knight and Baronet, who deceased the 20. Nouember, 1627. By William Fuller Doctor of Diuinity, one of his Maiesties chapleines in ordinary.","Fuller, William, 1579 or 80-1659.",Printed by Thomas Harper for Robert Bostocke and are to be sold at his shop in Pauls Church yard at the signe of the Kings Head,London,"Lady, 1593 or 4-1627.; Funeral sermons.; Clifton, Frances,",1628
A09999,S105990,20251,"The saints daily exercise A treatise concerning the whole dutie of prayer. Delivered in fiue sermons vpon I Thess. 5.17. By the late faithfull and worthy minister of Iesus Christ, Iohn Preston, Dr. in Divinity, chaplaine in ordinary to his Maiesty, Master of Emmanuel Colledge in Cambridge, and sometimes preacher of Lincolnes Inne.","Davenport, John, 1597-1670.; Preston, John, 1587-1628.; Sibbes, Richard, 1577-1635.",Printed by W I ones and are to bee sold by Nicholas Bourne at the South Entrance of the Royall Exchange,London,"17th century.; Early works to 1800.; Prayer; Sermons, English",1629
A07496,S101417,1788,"The sinne vnto death. Or an ample discouery of that fearefull sinne, the sinne against the holy Ghost together with the signes, degrees and preservatiues thereof. In a sermon preached at Pauls Crosse. August 26. 1621. By Tho: Bedford ...","Bedford, Thomas, d. 1653.",Printed by Iohn Dawson for William Sheffard and are to be sold at the signe of the Starre vnder St Peters Church in Corne hill and i n Popes head Alley,London,"Sermons, English; Early works to 1800.; 17th century.; Sin, Unpardonable",1621
A04978,S108175,15115,"The incomparable jevvell Shewed in a sermon, which was preached in the church of B. in S. at the solemnization of a marriage, had betweene W.B. and E.S. the daughter of I.S. of London, merchant. Wherein, is recommended to every good and well disposed minde the matchless worth of a vertuous wife; and wherein also is discovered the hatefull company and hellish condition of a vitious -","Loe, William, d. 1645.",Printed by Robert Young and are sold by G Lathum,London,"17th century.; Sermons, English",1632
A07838,S111317,18209,"Iustifying and sauing faith distinguished from the faith of the deuils In a sermon preached at Pauls crosse in London, May 9. 1613. By Miles Mosse pastor of the church of God at Combes in Suffolke, and Doctor of Diuinitie.","Mosse, Miles, fl. 1580-1614.",Printed by Cantrell Legge printer to the Vniuersitie of Cambridge 1614 And are to be sold by Matthevv Lavv in Pauls Churchyard London at the signe of the Foxe,Cambridge,"Sermons; 17th century.; Early works to 1800.; Justification; Sermons, English",1614
A07584,S104825,17971,The festyuall,"Mirk, John, fl. 1403?",Wynkyn de Worde,London,Saints; Christian life; Legends; Fasts and feasts; Catholic Church; Early works to 1800.,1508
A07453,S113208,1784,"A sermon exhorting to pitie the poore Preached the. xv. of Nouember. Anno. 1571. at Christes Churche in London. By Henry Bedel uicar there, which treatise may well be called The mouth of the poore.","Bedel, Henry, fl. 1571.",By Iohn Awdely,Imprinted at London,"Sermons, English; 16th century.",1573
A09757,S103577,20021,"The pathway to perfection A sermon preached at Saint Maryes Spittle in London on VVednesday in Easter weeke. 1593. By Thomas Playfere, Doctor of Diuinitie.","Playfere, Thomas, 1561?-1609.",Printed by Iames Roberts for Andrew VVise dwelling in Paules church yard at the signe of the Angel,At London,"Sermons, English; 16th century.",1597
A00888,S1413,110.5,"The deuills banket described in foure sermons [brace], 1. The banket propounded, begunne, 2. The second seruice, 3. The breaking vp of the feast, 4. The shot or reckoning, [and] The sinners passing-bell, together with Phisicke from heauen / published by Thomas Adams ...","Adams, Thomas, fl. 1612-1653.",Printed by Thomas Snodham for Ralph Mab and are to be sold in Paules Churchyard at the signe of the Grayhound,London,"17th century.; Sermons.; Sermons, English; Church of England",1614
A09950,S105956,20208,"The breast-plate of faith and love. A treatise, wherein the ground and exercise of faith and love, as they are set upon Christ their object, and as they are expressed in good workes, is explained. / Delivered in 18 sermons upon three severall texts, by the late faithfull and worthy minister of Iesus Christ, Iohn Preston, Dr. in Divinity, chaplaine in ordinary to his Maiesty, Master of Emmanuel Colledge in Cambridge, and sometimes preacher of Lincolnes Inne.","Davenport, John, 1597-1670, ed.; Preston, John, 1587-1628.; Sibbes, Richard, 1577-1635, ed.",Printed by W I ones for Nicolas Bourne and are to be solde at the South Entrance of the Royall Exchange,London,"Faith; Love (Theology); 17th century.; Early works to 1800.; Sermons, English",1630
A06932,S101291,1736,"A new postil conteinyng most godly and learned sermons vpon all the Sonday Gospelles, that be redde in the church thorowout the yeare ...","Becon, Thomas, 1512-1567.",In Flete strete nere to S Dunstons church by Thomas Marshe and John Kingston,Imprinted at London,"Sermons, English; 16th century.",1566
A00426,S122205,10558,"A learned and godly sermon preached on the XIX. day of December, anno Dom. MDCXXXI. at the funerall of Mr. Robert Bolton Batchelour in Divinity and minister of Broughton in Northampton-Shire. By Mr. Nicolas Estvvick, Batchelour in Divinity, and sometimes fellow of Christs College in Cambridge, and now minister of Warkton in Northampton-Shire. Revised and somewhat enlarged by the author, and now at the importunity of some friends published","Estwick, Nicolas.",Printed by George Miller dwelling in Black Friers,London,"Bolton, Robert, 1572-1631.; 17th century.; Funeral sermons; Early works to 1800.; Sermons, English",1639
A09745,S105170,20005,"Ten sermons Preached by that eloquent divine of famous memorie, Th. Playfere Doctor in Divinitie","Playfere, Thomas, 1561?-1609.; D. C., fl. 1610-1612.",Printed by Cantrell Legge printer to the Vniversitie of Cambridge,Cambridge,"17th century.; Sermons, English",1610
A02612,S120499,12741,"A proclamation of vvarre from the Lord of Hosts. Or Englands warning by Israels ruine shewing the miseries like to ensue vpon vs by reason of sinne and securitie. Deliuered in a sermon at Pauls Crosse Iuly the 23. 1626. By William Hampton Master of arts, and preacher of Gods word.","Hampton, William, 1599 or 1600-1677.",Printed by Iohn Norton for Mathew Lawe and are to be sold for the signe of the Fox in Saint Paules Church yard neere Saint Austens Gate,London,"17th century.; Sermons, English",1627
A02043,S110441,1219,"Lectures of I.B. vpon the xii. Articles of our Christian faith briefely set forth for the comfort of the godly, and the better instruction of the simple and ignorant. Also hereunto is annexed a briefe and cleare confession of the Christian faith, conteining an hundreth articles, according to the order of the Creede of the Apostles. Written by that learned [and] godly martyr I.H. sometime Bishop of Glocester in his life time.","Garnier, Jean, d. 1574. Briefve et claire confession de la foy chrestienne. English.; Baker, John, minister.; Hooper, John, d. 1555.",By C Barker,Imprinted at London,Early works to 1800.; Christianity; Creeds,1581
A01936,S103328,12072,"The God of heaven A sermon appointed for the Crosse, but preached in the Cathedrall Church of St. Pauls in London, upon Sunday the 23. of September, anno Domini. 1638. By Iohn Gore, rector of Wendenlofts in Essex, and preacher at St. Peters Corne-Hill in London.","Gore, John, Rector of Wendenlofts, Essex.",By Thomas Cotes for Thomas Alchorn and are to be sold at his shop in Pauls Church yard at the signe of the Greene Dragon,Printed at London,"17th century.; Sermons, English",1638
A01027,S116489,11130,A fruitfull sermon made by the reverend and learned Mr. Iohn Forbes. Pastour of the English company of merchants adventures at Delft. Published by some of his flock out of sincere affection for common good,"Forbes, John, 1568?-1634.",Printed by Richard Plater,At Amsterdam,"17th century.; Sermons, English",1626
A03796,S104276,13914,"St. Pauls exercise, or, A sermon of conscience Describing the nature of it; and declaring the manner and meanes how to obtaine, and retaine, a good conscience. Preached by Iohn Hughes, Doctor in Diuinitie.","Hughes, John, fl. 1622.",Printed by T homas S nodham for Iohn Budge and are to be sold at his shop at the signe of the Greene Dragon in Pauls Church yard,London,Conscience; Early works to 1800.,1622
A05171,S102879,15305,"A sermon preached on Munday, the seauenteenth of March, at Westminster at the opening of the Parliament. By the Bishop of Bathe and Welles.","Laud, William, 1573-1645.",Printed by B Norton and J Bill for Richard Badger,London,"17th century.; Sermons, English",1628
A04425,S114147,1455,"The sermon preached at Paules Crosse, the tenth day of Nouember being the next Sunday after the discouerie of this late horrible treason. By the right reuerend father in God, William, by Gods permission, Lord Bishop of Rochester.","Barlow, William, d. 1613.",Printed by I VV indet for Mathew Law,London,"17th century.; Sermons, English",1606
A01719,S114031,11853,"Eight sermons, vpon the first foure chapters, and part of the fift, of Ecclesiastes Preached at Mauldon, by G. Giffard.","Gifford, George, d. 1620.",Printed by Iohn Windet for Toby Cooke at the Tygers head in Paules Church yard,At London,"O.T.; Commentaries; Bible.; 16th century.; Sermons, English; EcclesiastesI-V; Early works to 1800.",1589
A03339,S104100,13459,"The doctrine of fasting and praier, and humiliation for sinne Delivered in sundry sermons at the fast appointed by publique authority, in the yeere 1625. By that late faithfull and worthy minister of Iesus Christ. Arth. Hildersam.","Hildersam, Samuel, 1593 or 4-1674.; Hildersam, Arthur, 1563-1632.",Printed by George Miller for Edward Brewster and are to be sold at his shop at the great north doore of S Pauls at the signe of the Bible,London,"Sermons, English; Repentance; 17th century.; Early works to 1800.",1633
A02702,S120679,12836,"Hezekiahs recovery. Or, A sermon, shevving what use Hezekiah did, and all should make of their deliverance from sicknesse. First preached, and now published by Robert Harris, pastor of Hanwell","Harris, Robert, 1581-1658.",Printed by R obert Y oung for Iohn Bartlet at the golden Cup in the Goldsmiths Row in Cheape side,London,"17th century.; Sermons, English",1626
A03335,S118140,13455,"Mystical babylon, or Papall Rome A treatise vpon those words, Apocal. 18.2. It is fallen, it is fallen Babylon, &c. In which the wicked, and miserable condition of Rome, as shee now is in her present Babylonian estate, and as she shall be in her future ineuitable ruine, is fully discouered: and sundry controuersiall points of religion, betwixt the Protestants, and the Papists, are briefly discussed. By Theophilus Higgons, rector of the parochiall Church of Hunton, neere Maidstone in Kent.","Higgons, Theophilus, 1578?-1659.",Printed by William Stansby for Matthew Lownes and William Barret,London,Catholic Church; Controversial literature; Early works to 1800.,1624
A03519,S110029,13640,"Certayne sermons, or homelies appoynted by the kynges Maiestie, to be declared and redde, by all persones, vicars, or curates, euery Sondaye in their churches, where they haue cure. Anno 1547.","Church of England.; Cranmer, Thomas, 1489-1556.",The laste daie of Iulii in the first yere of the reigne of our souereigne lord Kyng Edvvard the VI by Rychard Grafton printer to his moste royall Maiestie,Imprinted at London,"16th century.; Sermons.; Sermons, English; Church of England",1547
A09915,S115044,20177,"A notable sermon concerninge the ryght vse of the lordes supper and other thynges very profitable for all men to knowe preached before the Kynges most excellent Mayestye and hys most honorable counsel in hys courte at Westmynster the 14. daye of Marche, by Mayster Iohn ponet Doctor of dyuinity. 1550.","Ponet, John, 1516?-1556.",By S Mierdman for Gwalter Lynne dwellynge on Somers Kaye by Byllynges gate They be to be solde in Paules churche yard next the great Schole at the signe of the sprede Egle,Imprynted at London,"Lord's Supper; Early works to 1800.; Sermons, English; 16th century.",1550
A01025,S114866,11129,Four sermons which doe manifest the true sence of the 1. Epistle to Timothie 6. Chaper 13. 14. 15. [and] 16. verses of that chapter. Preached by the reverend divine Mr. Iohn Forbes late preacher to the Companie of Merchant-Adventurers in Delft. Published by S.O.,"Forbes, John, 1568?-1634.",Successors of G Thorpe,Amsterdam,"17th century.; Sermons, English",1635
A03272,S119040,13391,The baptizing of the eunuch in three sermons vpon Act. 8. 36. 37. 38. By Samuel Hieron.,"Hieron, Samuel, 1576?-1617.",Printed by Melch Bradvvood for Samuel Macham and are to be solde at his shop in Pauls church yard at the signe of the Bull head,London,"17th century.; Sermons, English",1613
A04931,S108139,15075,"A sermon preached by Iohn Knox minister of Christ Iesus in the publique audience of the Church of Edenbrough, within the realme of Scotland, vpon Sonday, the. 19. of August. 1565 For the which the said Iohn Knoxe was inhibite preaching for a season. To this is adioyned an exhortation vnto all the faythfull within the sayde realme, for the reliefe of suche as faythfully trauayle in the preaching of Gods worde. Written by the same Iohn Knoxe, at the commaundement of the ministerie aforesayd.","Knox, John, ca. 1514-1572.",Imprinted by Henry Denham,London,"Sermons, English; 16th century.",1566
A03589,S121048,13711,"A learned sermon of the nature of pride, by Richard Hooker, sometimes fellow of Corpus Christi College in Oxford","Spenser, John, 1559-1614.; Jackson, Henry,  1586-1662.; Hooker, Richard, 1553 or 4-1600.",Printed by Ioseph Barnes and are to be sold by John Barnes dwelling neere Holborne Conduit London,At Oxford,"17th century.; Sermons, English",1612
A03497,S104172,13619,"Three sermons vpon the Passion, Resurrection and Ascension of Our Sauior preached at Oxford, by Barten Holyday, now archdeacon of Oxford.","Holyday, Barten, 1593-1661.",Printed by William Stansby for Nathaniell Butter and are to be sold at his shop at Saint Austines Gate in Pauls Church yard,London,"Jesus Christ; Sermons.; 17th century.; Sermons, English",1626
A03597,S121049,13722,"A remedie against sorrow and feare, delivered in a funerall sermon, by Richard Hooker, sometimes fellow of Corpus Christi College in Oxford","Spenser, John, 1559-1614.; Jackson, Henry,  1586-1662.; Hooker, Richard, 1553 or 4-1600.",Printed by Ioseph Barnes and are to be sold by John Barnes dwelling neere Holborne Conduit London,At Oxford,"17th century.; Sermons, English",1612
A04167,S107448,14307,"Diverse sermons with a short treatise befitting these present times, now first published by Thomas Iackson, Dr in Divinity, chaplaine in ordinary to his Majestie, and president of Corpus Christi Colledge in Oxford. ...","Jackson, Thomas, 1579-1640.",Printed by Leonard Lichfield,Oxford,No Keywords,1637
A02537,S116594,12665,"The great impostor laid open in a sermon at Grayes Inne, Febr. 2.1623. By Ios. Hall D.D.","Hall, Joseph, 1574-1656.",Printed by J Haviland for Nath Butter,London,"17th century.; Sermons, English",1623
A00816,S102148,10937,"Compassion towards captives chiefly towards our brethren and country-men who are in miserable bondage in Barbarie. Vrged and pressed in three sermons on Heb. 13.3. Preached in Plymouth, in October 1636. By Charles Fitz-Geffry.","Fitz-Geffry, Charles, 1575?-1638.",Printed by Leonard Lichfield for Edward Forrest,Oxford,"Sermons; Pirates; 17th century.; Early works to 1800.; Sermons, English",1637
A01234,S120858,11346.7,"Ezras pulpit. Or, A sermon lately preached in Southwarke, before a worshipfull assembly Very necessary for these times. By William Freake, minister.","Freake, William.",Printed by Tho Harper for Richard Harper and are to be sold at his shop at the Bible and Harp in Smithfield,London,"17th century.; Sermons, English",1639
A04840,S108030,14972,"Two sermons. vpon the Act Sunday, being the 10th of Iuly. 1625 Deliuered at St Maries in Oxford.","King, John, 1559?-1621. aut; King, Henry, 1592-1669.",Printed by I ohn L ichfield and W illiam T urner for William Turner,Oxford,"17th century.; Sermons, English",1625
A09997,S115107,20249,"Remaines of that reverend and learned divine, Iohn Preston, Dr. in Divinity, chaplaine in ordinary to his Majesty, master of Emanuel Colledge in Cambridge, and sometimes preacher of Lincolnes-Inne Containing three excellent treatises, namely, Iudas's repentance. The saints spirituall strength. Pauls conversion.","Preston, John, 1587-1628.",Printed by John Beale for Andrew Crooke,London,No Keywords,1634
A01553,S102990,11680,Tvvo mariage sermons the former on Prov. 19. 14. By Thomas Gataker B. of D. and pastor of Rotherhith. The latter on Iohn 2. 1--12. By that learned and judicious divine Mr William Bradshaw some time fellow of Sidney Colledge in Cambridge.,"Bradshaw, William, 1571-1618. aut; Gataker, Thomas, 1574-1654.",Printed by Edward Griffin for Fulke Clifton and are to be sold at his shop on New Fish street hill vnder Saint Margerets Church,London,"17th century.; Sermons, English",1620
A03128,S108984,13258,"Three excellent points of Christian doctrine I. The nativity of our Lord Iesus Christ. II. His bitter sufferings for the sinnes of his people. III. The fruites flowing therefrom, to those that by faith apprehend him. All prophecied by Zachariah in the 8. 9. and 10. verses of the third chapter of his prophecie, and explained in three sermons, preached at Edinburgh by Master Peter Hewat being minister there.","Hewat, Peter, d. 1645.",Printed by Andro Hart,Edinburgh,Bible.; Prophecies.; Zachariah; O.T.,1621
A02184,S115658,12325,"Two learned and godly sermons, preached by that reuerende and zelous man M. Richard Greenham: on these partes of scripture folowing. The first sermon on this text. A good name is to be desired aboue great riches, and louing fauour aboue siluer and golde. Pro. 22, I. The second sermon on this text. Quench not the spirit. I. Thessa. 5, 19","Greenham, Richard.",Printed by Gabriel Simson and William White for William Iones dwelling neare Holborne condite at the signe of the Gunne where they are to be solde,London,"Sermons, English; 16th century.",1595
A02242,S103449,12377,"A sermon, at the funeral solemnitie of the most high and mighty Prince Ferdinandus, the late Emperour of most famous memorye holden in the Cathedrall Churche of saint Paule in London, the third of October. 1564. Made by the reuerend father in God, Edmund Grindall, bishop of London.","Grindal, Edmund, 1519?-1583.",By Iohn Day dwelling ouer Aldersgate beneath saint Martins Cum gratia priuilegio Regiæ Maiestatis These bookes are to be sold at hys shop vnder the Gate,Imprinted at London,"Holy Roman Emperor, 1503-1564.; Funeral sermons.; Ferdinand; I,",1564
A00639,S112582,10772,"A defence of the reasons of the counter-poyson, for maintenance of the eldership against an aunsvvere made to them by Doctor Copequot, in a publike sermon at Pawles Crosse, vpon Psal. 84. 1584. VVherein also according to his demaunde is proued syllogisticallie for the learned, and plainlie for all men, the perpetuitie of the elders office in the church.","Jacob, Henry, 1563-1624, attributed name.; Fenner, Dudley, 1558?-1587, attributed name.; Stoughton, William, fl. 1584, attributed name.",Printed by R Schilders,Middelburg,"Copcot, John, d. 1590.; Government; Church of England; Controversial literature; Early works to 1800.",1586
A07836,S112944,18207,"The arraignment and conuiction of vsurie That is, The iniquitie, and vnlawfulnes of vsurie, displayed in sixe sermons, preached at Saint Edmunds Burie in Suffolke, vpon Prouerb. 28.8. By Miles Mosse, minister of the worde, and Bacheler of Diuinitie. Seene and allowed by authoritie. The especiall contents of this booke, are declared in the page next before the treatise it self. Reade all, or censure none.","Mosse, Miles, fl. 1580-1614.",Printed by the widdow Orwin for Thomas Man,At London,"Usury; Sermons; Early works to 1800.; 16th century.; Sermons, English",1595
A05169,S102878,15303,"A sermon preached before his Maiestie, on Wednesday the fift of Iuly, at White-hall At the solemne fast then held. By the Bishop of S. Davids. Wm. Laud.","Laud, William, 1573-1645.",Printed by B Norton and J Bill for Richard Badger,London,"17th century.; Sermons, English",1626
A02722,S105942,12854,"Tvvo sermons vvherein we are taught, 1. Hovv to get, 2. How to keepe, 3. How to vse a good conscience. Preached in Alldermanbury Church, London. Not heretofore published. By Robert Harris.","Harris, Robert, 1581-1658.",Printed by T B rudenell for Iohn Bartlet and are to be sold at his shop in Cheape side at the Gilded Cup,London,"Sermons; 17th century.; Early works to 1800.; Conscience; Sermons, English",1630
A00259,S118909,1034,"Moriemini. A verie profitable sermon preached before her Maiestie at the court, about xiij. yeares since: by H.B.","H. B., fl. 1593.; Broughton, Hugh, 1549-1612, attributed name.",Printed R Field for by Iohn VVolfe,London,"Sermons, English; 16th century.",1593
A07536,S112664,17918,"Sapientia clamitans wisdome crying out to sinners to returne from their evill wayes: contained in three pious and learned treatises, viz. I. Of Christs fervent love to bloudy Ierusalem. II. Of Gods just hardning of Pharaoh, when hee had filled up the measure of his iniquity. III. Of mans timely remembring of his creator. Heretofore communicated to some friends in written copies: but now published for the generall good, by William Milbourne priest.","Jackson, Thomas, 1579-1640.; Donne, John, 1572-1631. aut; Milbourne, William, b. 1598 or 9.",Printed by I Haviland for R Milbourne at the Unicorne neere Fleet bridge,London,"17th century.; Sermons, English",1638
A00789,S105624,10909,"Here after ensueth two fruytfull sermons, made [and] compyled by the ryght Reuerende father in god Iohn̄ Fyssher, Doctour of Dyuynyte and Bysshop of Rochester","Fisher, John, Saint, 1469-1535.",By me w Rastell,Newly enprynted at London,"Sermons, English.",1532
A02614,S103823,12744,"The baptizing of a Turke A sermon preached at the Hospitall of Saint Katherin, adioyning vnto her Maiesties Towre the 2. of October 1586. at the baptizing of one Chinano a Turke, borne at Nigropontus: by Meredith Hanmer, D. of Diuinitie.","Hanmer, Meredith, 1543-1604.",Printed by Robert Walde graue dwelling without Temple barre,London,"Sermons; Early works to 1800.; 16th century.; Chinano; Sermons, English",1586
A04190,S107487,14314,"Nazareth and Bethlehem, or, Israels portion in the sonne of Iesse. And, mankinds comfort from the weaker sexe Tvvo sermons preached in St Maryes Church in Oxford. By Thomas Iackson, Bachelour of Divinitie, and fellow of Corpus Christi College in Oxford.","Jackson, Thomas, 1579-1640.",Printed by Iohn Lichfield and william Wrench,At Oxford,"17th century.; Sermons, English",1617
A05141,S108296,15272.5,"The fyrste sermon of Mayster Hughe Latimer, whiche he preached before the Kinges Maiestie wythin his graces palayce at Westminster. M.D.XLIX. the. viii. of March Cu[m] gratia et priuilegio ad imprimendum solum.","Some, Thomas, b. ca. 1510.; Latimer, Hugh, 1485?-1555.",By Iohn Day dwellynge ouer Aldersgate and Wylliam Seres dwellyng in Peter Colledge,Imprinted at London,"Sermons, English; 16th century.",1549
A04576,S107451,14694,"Dauids teacher, or The true teacher of the right-vvay to heauen Discouering erroneous teachers and seditious sectuaries. Preached at Paules-Crosse the 3. of September. 1609. By Ro: Iohnson, M. of Arts, chaplaine to the Right Reuerend Father in God, the L. Bishop of Lincolne.","Johnson, Robert, chaplain to the Bishop of Lincoln.",Printed by T Haueland for Mathew Law and are to be solde at his shop in Pauls Church yard neere S Austins gate at the signe of the Fox,London,"17th century.; Sermons, English",1609
